timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/04/23 05:45:44.671, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:45.672, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:46.672, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:47.674, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:48.675, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:49.675, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:50.675, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:51.676, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:52.676, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:53.676, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:54.676, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:55.676, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:56.677, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:57.677, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:58.679, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:59.679, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:00.679, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:01.679, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:02.679, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:03.680, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:04.681, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:05.681, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:06.681, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:07.682, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:08.682, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:09.683, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:10.683, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:11.684, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:12.684, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:13.684, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:14.684, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:15.685, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:16.685, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:17.685, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:18.690, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:19.691, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:20.691, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:21.693, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:22.693, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:23.693, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:24.693, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:25.694, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:26.694, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:27.694, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:28.694, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:29.695, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:30.695, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:31.695, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:32.696, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:33.697, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:34.697, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:35.697, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:36.698, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:37.698, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:38.698, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:39.698, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:40.699, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:41.699, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:42.699, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:43.700, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:44.700, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:45.701, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:46.701, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:47.702, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:48.702, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:49.703, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:50.703, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:51.703, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:52.704, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:53.704, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:54.704, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:55.704, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:56.705, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:57.705, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:58.705, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:46:59.706, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:00.706, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:01.706, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:02.706, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:03.707, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:04.707, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:05.707, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:06.708, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:07.708, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:08.708, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:09.708, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:10.709, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:11.710, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:12.710, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:13.710, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:14.711, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:15.711, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:16.711, 100 %, 100 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:17.711, 100 %, 100 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:18.712, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:19.715, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:20.715, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:21.717, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:22.717, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:23.717, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:24.720, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:25.720, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:26.720, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:27.721, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:28.721, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:29.722, 100 %, 100 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:30.722, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:31.722, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:32.722, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:33.726, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:34.726, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:35.726, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:36.727, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:37.728, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:38.728, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:39.728, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:40.728, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:41.729, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:42.729, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:43.729, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:44.730, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:45.730, 100 %, 97 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:46.730, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:47.730, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:48.730, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:49.731, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:50.731, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:51.731, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:52.733, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:53.734, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:54.734, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:55.734, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:56.734, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:57.736, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:58.736, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:47:59.736, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:00.736, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:01.737, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:02.737, 100 %, 97 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:03.743, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:04.743, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:05.744, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:06.744, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:07.744, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:08.744, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:09.745, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:10.745, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:11.745, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:12.747, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:13.747, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:14.748, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:15.748, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:16.748, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:17.749, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:18.749, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:19.749, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:20.750, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:21.750, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:22.751, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:23.751, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:24.751, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:25.752, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:26.752, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:27.752, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:28.752, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:29.753, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:30.753, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:31.754, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:32.754, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:33.755, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:34.755, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:35.755, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:36.755, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:37.756, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:38.756, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:39.756, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:40.757, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:41.757, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:42.757, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:43.757, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:44.758, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:45.759, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:46.759, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:47.759, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:48.760, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:49.760, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:50.760, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:51.763, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:52.763, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:53.763, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:54.764, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:55.764, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:56.765, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:57.766, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:58.766, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:48:59.766, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:00.767, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:01.769, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:02.769, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:03.770, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:04.771, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:05.771, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:06.771, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:07.773, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:08.773, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:09.773, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:10.773, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:11.773, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:12.774, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:13.774, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:14.775, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:15.775, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:16.775, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:17.775, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:18.776, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:19.776, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:20.776, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:21.776, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:22.777, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:23.777, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:24.777, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:25.778, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:26.778, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:27.778, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:28.779, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:29.782, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:30.782, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:31.782, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:32.782, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:33.783, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:34.783, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:35.783, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:36.783, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:37.784, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:38.784, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:39.784, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:40.785, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:41.785, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:42.786, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:43.786, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:44.786, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:45.792, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:46.793, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:47.793, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:48.794, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:49.796, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:50.796, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:51.796, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:49:52.796, 0 %, 0 %, 21436 MiB, 24576 MiB
