timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/04/29 19:51:05.152, 54 %, 48 %, 76935 MiB, 81920 MiB, 71.62 W, 44
2026/04/29 19:51:06.152, 50 %, 45 %, 76935 MiB, 81920 MiB, 69.36 W, 44
2026/04/29 19:51:07.449, 48 %, 42 %, 76935 MiB, 81920 MiB, 246.94 W, 45
2026/04/29 19:51:08.449, 0 %, 0 %, 76935 MiB, 81920 MiB, 249.60 W, 46
2026/04/29 19:51:09.449, 99 %, 88 %, 76935 MiB, 81920 MiB, 253.36 W, 46
2026/04/29 19:51:10.580, 99 %, 89 %, 76935 MiB, 81920 MiB, 254.67 W, 47
2026/04/29 19:51:11.581, 99 %, 88 %, 76935 MiB, 81920 MiB, 253.37 W, 47
2026/04/29 19:51:12.581, 99 %, 87 %, 76935 MiB, 81920 MiB, 280.51 W, 47
2026/04/29 19:51:13.742, 99 %, 87 %, 76935 MiB, 81920 MiB, 277.94 W, 48
2026/04/29 19:51:14.742, 99 %, 87 %, 76935 MiB, 81920 MiB, 275.10 W, 48
2026/04/29 19:51:15.742, 99 %, 87 %, 76935 MiB, 81920 MiB, 253.27 W, 48
2026/04/29 19:51:16.890, 99 %, 88 %, 76935 MiB, 81920 MiB, 257.65 W, 49
2026/04/29 19:51:17.891, 99 %, 87 %, 76935 MiB, 81920 MiB, 260.81 W, 49
2026/04/29 19:51:18.891, 99 %, 89 %, 76935 MiB, 81920 MiB, 259.15 W, 49
2026/04/29 19:51:20.053, 99 %, 89 %, 76935 MiB, 81920 MiB, 259.84 W, 49
2026/04/29 19:51:21.053, 99 %, 88 %, 76935 MiB, 81920 MiB, 259.35 W, 50
2026/04/29 19:51:22.053, 99 %, 87 %, 76935 MiB, 81920 MiB, 278.39 W, 50
2026/04/29 19:51:23.212, 99 %, 89 %, 76935 MiB, 81920 MiB, 283.15 W, 51
2026/04/29 19:51:24.213, 99 %, 88 %, 76935 MiB, 81920 MiB, 280.33 W, 51
2026/04/29 19:51:25.213, 99 %, 88 %, 76935 MiB, 81920 MiB, 260.23 W, 51
2026/04/29 19:51:26.424, 99 %, 86 %, 76935 MiB, 81920 MiB, 258.41 W, 51
2026/04/29 19:51:27.424, 99 %, 87 %, 76935 MiB, 81920 MiB, 258.90 W, 52
2026/04/29 19:51:28.424, 99 %, 88 %, 76935 MiB, 81920 MiB, 256.96 W, 52
2026/04/29 19:51:29.574, 99 %, 89 %, 76935 MiB, 81920 MiB, 261.10 W, 52
2026/04/29 19:51:30.575, 99 %, 88 %, 76935 MiB, 81920 MiB, 259.27 W, 53
2026/04/29 19:51:31.575, 99 %, 88 %, 76935 MiB, 81920 MiB, 284.67 W, 53
2026/04/29 19:51:32.734, 99 %, 87 %, 76935 MiB, 81920 MiB, 277.45 W, 54
2026/04/29 19:51:33.735, 99 %, 86 %, 76935 MiB, 81920 MiB, 284.67 W, 54
2026/04/29 19:51:34.735, 99 %, 88 %, 76935 MiB, 81920 MiB, 261.31 W, 54
2026/04/29 19:51:35.893, 99 %, 88 %, 76935 MiB, 81920 MiB, 262.64 W, 54
2026/04/29 19:51:36.893, 99 %, 87 %, 76935 MiB, 81920 MiB, 265.05 W, 54
2026/04/29 19:51:37.893, 99 %, 89 %, 76935 MiB, 81920 MiB, 262.36 W, 54
2026/04/29 19:51:39.047, 99 %, 87 %, 76935 MiB, 81920 MiB, 265.48 W, 54
2026/04/29 19:51:40.048, 99 %, 89 %, 76935 MiB, 81920 MiB, 262.93 W, 54
2026/04/29 19:51:41.048, 99 %, 88 %, 76935 MiB, 81920 MiB, 281.92 W, 55
2026/04/29 19:51:42.198, 99 %, 89 %, 76935 MiB, 81920 MiB, 279.67 W, 55
2026/04/29 19:51:43.198, 99 %, 87 %, 76935 MiB, 81920 MiB, 283.24 W, 55
2026/04/29 19:51:44.198, 99 %, 87 %, 76935 MiB, 81920 MiB, 263.44 W, 54
2026/04/29 19:51:45.362, 99 %, 87 %, 76935 MiB, 81920 MiB, 263.45 W, 54
2026/04/29 19:51:46.363, 99 %, 88 %, 76935 MiB, 81920 MiB, 261.91 W, 54
2026/04/29 19:51:47.363, 99 %, 89 %, 76935 MiB, 81920 MiB, 261.97 W, 54
2026/04/29 19:51:48.516, 99 %, 88 %, 76935 MiB, 81920 MiB, 262.13 W, 54
2026/04/29 19:51:49.516, 99 %, 89 %, 76935 MiB, 81920 MiB, 262.36 W, 54
2026/04/29 19:51:50.516, 99 %, 87 %, 76935 MiB, 81920 MiB, 283.51 W, 55
2026/04/29 19:51:51.676, 99 %, 87 %, 76935 MiB, 81920 MiB, 286.89 W, 55
2026/04/29 19:51:52.676, 99 %, 89 %, 76935 MiB, 81920 MiB, 288.53 W, 55
2026/04/29 19:51:53.676, 99 %, 86 %, 76935 MiB, 81920 MiB, 278.89 W, 54
2026/04/29 19:51:54.835, 99 %, 88 %, 76935 MiB, 81920 MiB, 268.19 W, 55
2026/04/29 19:51:55.835, 99 %, 87 %, 76935 MiB, 81920 MiB, 264.82 W, 55
2026/04/29 19:51:56.835, 99 %, 88 %, 76935 MiB, 81920 MiB, 263.45 W, 55
2026/04/29 19:51:57.990, 99 %, 88 %, 76935 MiB, 81920 MiB, 264.22 W, 55
2026/04/29 19:51:58.990, 99 %, 88 %, 76935 MiB, 81920 MiB, 261.31 W, 55
2026/04/29 19:51:59.990, 99 %, 89 %, 76935 MiB, 81920 MiB, 286.32 W, 55
2026/04/29 19:52:01.146, 99 %, 88 %, 76935 MiB, 81920 MiB, 275.26 W, 55
2026/04/29 19:52:02.147, 99 %, 89 %, 76935 MiB, 81920 MiB, 265.93 W, 55
2026/04/29 19:52:03.147, 99 %, 87 %, 76935 MiB, 81920 MiB, 264.98 W, 55
2026/04/29 19:52:04.313, 99 %, 88 %, 76935 MiB, 81920 MiB, 288.99 W, 55
2026/04/29 19:52:05.314, 99 %, 87 %, 76935 MiB, 81920 MiB, 289.21 W, 55
2026/04/29 19:52:06.314, 99 %, 88 %, 76935 MiB, 81920 MiB, 263.42 W, 55
2026/04/29 19:52:07.478, 99 %, 87 %, 76935 MiB, 81920 MiB, 266.22 W, 55
2026/04/29 19:52:08.479, 99 %, 87 %, 76935 MiB, 81920 MiB, 260.86 W, 55
2026/04/29 19:52:09.479, 99 %, 88 %, 76935 MiB, 81920 MiB, 264.69 W, 55
2026/04/29 19:52:10.631, 99 %, 85 %, 76935 MiB, 81920 MiB, 309.26 W, 56
2026/04/29 19:52:11.631, 99 %, 84 %, 76935 MiB, 81920 MiB, 288.80 W, 56
2026/04/29 19:52:12.631, 99 %, 85 %, 76935 MiB, 81920 MiB, 298.52 W, 56
2026/04/29 19:52:13.632, 99 %, 85 %, 76935 MiB, 81920 MiB, 297.14 W, 56
2026/04/29 19:52:14.632, 99 %, 84 %, 76935 MiB, 81920 MiB, 297.17 W, 56
2026/04/29 19:52:15.632, 99 %, 84 %, 76935 MiB, 81920 MiB, 286.89 W, 56
2026/04/29 19:52:16.632, 99 %, 84 %, 76935 MiB, 81920 MiB, 291.86 W, 57
2026/04/29 19:52:17.633, 99 %, 85 %, 76935 MiB, 81920 MiB, 281.12 W, 57
2026/04/29 19:52:18.633, 99 %, 85 %, 76935 MiB, 81920 MiB, 291.52 W, 57
2026/04/29 19:52:19.636, 99 %, 84 %, 76935 MiB, 81920 MiB, 289.40 W, 57
2026/04/29 19:52:20.636, 99 %, 84 %, 76935 MiB, 81920 MiB, 283.42 W, 57
2026/04/29 19:52:21.724, 99 %, 85 %, 76935 MiB, 81920 MiB, 294.66 W, 57
2026/04/29 19:52:22.725, 99 %, 85 %, 76935 MiB, 81920 MiB, 299.45 W, 57
2026/04/29 19:52:23.725, 99 %, 84 %, 76935 MiB, 81920 MiB, 299.87 W, 57
2026/04/29 19:52:24.865, 99 %, 84 %, 76935 MiB, 81920 MiB, 297.47 W, 57
2026/04/29 19:52:25.865, 99 %, 85 %, 76935 MiB, 81920 MiB, 299.00 W, 57
2026/04/29 19:52:26.865, 99 %, 85 %, 76935 MiB, 81920 MiB, 310.50 W, 58
2026/04/29 19:52:28.005, 99 %, 84 %, 76935 MiB, 81920 MiB, 317.29 W, 58
2026/04/29 19:52:29.006, 99 %, 84 %, 76935 MiB, 81920 MiB, 295.06 W, 58
2026/04/29 19:52:30.006, 99 %, 85 %, 76935 MiB, 81920 MiB, 308.69 W, 58
2026/04/29 19:52:31.151, 99 %, 84 %, 76935 MiB, 81920 MiB, 289.57 W, 58
2026/04/29 19:52:32.151, 99 %, 84 %, 76935 MiB, 81920 MiB, 298.71 W, 58
2026/04/29 19:52:33.152, 99 %, 84 %, 76935 MiB, 81920 MiB, 296.51 W, 58
2026/04/29 19:52:34.273, 99 %, 84 %, 76935 MiB, 81920 MiB, 305.02 W, 58
2026/04/29 19:52:35.273, 99 %, 84 %, 76935 MiB, 81920 MiB, 284.48 W, 58
2026/04/29 19:52:36.273, 99 %, 84 %, 76935 MiB, 81920 MiB, 303.80 W, 58
2026/04/29 19:52:37.387, 99 %, 84 %, 76935 MiB, 81920 MiB, 305.60 W, 58
2026/04/29 19:52:38.387, 99 %, 84 %, 76935 MiB, 81920 MiB, 315.85 W, 59
2026/04/29 19:52:39.387, 99 %, 84 %, 76935 MiB, 81920 MiB, 283.54 W, 58
2026/04/29 19:52:40.521, 99 %, 85 %, 76935 MiB, 81920 MiB, 294.49 W, 59
2026/04/29 19:52:41.522, 99 %, 85 %, 76935 MiB, 81920 MiB, 291.12 W, 59
2026/04/29 19:52:42.522, 99 %, 84 %, 76935 MiB, 81920 MiB, 295.73 W, 59
2026/04/29 19:52:43.655, 99 %, 85 %, 76935 MiB, 81920 MiB, 276.20 W, 59
2026/04/29 19:52:44.656, 99 %, 84 %, 76935 MiB, 81920 MiB, 292.08 W, 59
2026/04/29 19:52:45.656, 99 %, 84 %, 76935 MiB, 81920 MiB, 296.31 W, 59
2026/04/29 19:52:46.824, 99 %, 85 %, 76935 MiB, 81920 MiB, 316.30 W, 59
2026/04/29 19:52:47.824, 99 %, 85 %, 76935 MiB, 81920 MiB, 313.65 W, 60
2026/04/29 19:52:48.825, 99 %, 85 %, 76935 MiB, 81920 MiB, 288.61 W, 60
2026/04/29 19:52:49.978, 99 %, 84 %, 76935 MiB, 81920 MiB, 303.98 W, 60
2026/04/29 19:52:50.978, 99 %, 84 %, 76935 MiB, 81920 MiB, 290.73 W, 60
2026/04/29 19:52:51.978, 99 %, 84 %, 76935 MiB, 81920 MiB, 302.07 W, 60
2026/04/29 19:52:53.114, 99 %, 84 %, 76935 MiB, 81920 MiB, 310.48 W, 61
2026/04/29 19:52:54.115, 99 %, 84 %, 76935 MiB, 81920 MiB, 287.45 W, 61
2026/04/29 19:52:55.115, 99 %, 84 %, 76935 MiB, 81920 MiB, 315.20 W, 61
2026/04/29 19:52:56.248, 99 %, 84 %, 76935 MiB, 81920 MiB, 290.86 W, 61
2026/04/29 19:52:57.248, 99 %, 84 %, 76935 MiB, 81920 MiB, 308.96 W, 61
2026/04/29 19:52:58.249, 99 %, 84 %, 76935 MiB, 81920 MiB, 307.25 W, 61
2026/04/29 19:52:59.395, 99 %, 84 %, 76935 MiB, 81920 MiB, 298.34 W, 61
2026/04/29 19:53:00.395, 99 %, 84 %, 76935 MiB, 81920 MiB, 291.70 W, 61
2026/04/29 19:53:01.396, 99 %, 84 %, 76935 MiB, 81920 MiB, 292.75 W, 61
2026/04/29 19:53:02.527, 99 %, 84 %, 76935 MiB, 81920 MiB, 286.69 W, 62
2026/04/29 19:53:03.527, 99 %, 85 %, 76935 MiB, 81920 MiB, 325.12 W, 62
2026/04/29 19:53:04.527, 99 %, 84 %, 76935 MiB, 81920 MiB, 290.65 W, 62
2026/04/29 19:53:05.652, 99 %, 85 %, 76935 MiB, 81920 MiB, 304.07 W, 62
2026/04/29 19:53:06.652, 99 %, 84 %, 76935 MiB, 81920 MiB, 292.07 W, 62
2026/04/29 19:53:07.653, 99 %, 84 %, 76935 MiB, 81920 MiB, 300.24 W, 62
2026/04/29 19:53:08.797, 99 %, 84 %, 76935 MiB, 81920 MiB, 308.79 W, 62
2026/04/29 19:53:09.798, 99 %, 88 %, 76935 MiB, 81920 MiB, 154.59 W, 61
2026/04/29 19:53:10.798, 99 %, 80 %, 76935 MiB, 81920 MiB, 285.16 W, 62
2026/04/29 19:53:11.953, 99 %, 80 %, 76935 MiB, 81920 MiB, 275.15 W, 62
2026/04/29 19:53:12.953, 99 %, 80 %, 76935 MiB, 81920 MiB, 283.32 W, 62
2026/04/29 19:53:13.954, 99 %, 80 %, 76935 MiB, 81920 MiB, 289.77 W, 62
2026/04/29 19:53:15.134, 99 %, 80 %, 76935 MiB, 81920 MiB, 283.07 W, 62
2026/04/29 19:53:16.135, 99 %, 80 %, 76935 MiB, 81920 MiB, 289.61 W, 62
2026/04/29 19:53:17.135, 99 %, 79 %, 76935 MiB, 81920 MiB, 289.61 W, 62
2026/04/29 19:53:18.315, 99 %, 80 %, 76935 MiB, 81920 MiB, 295.73 W, 62
2026/04/29 19:53:19.316, 99 %, 80 %, 76935 MiB, 81920 MiB, 289.50 W, 62
2026/04/29 19:53:20.316, 99 %, 81 %, 76935 MiB, 81920 MiB, 290.56 W, 62
2026/04/29 19:53:21.496, 99 %, 80 %, 76935 MiB, 81920 MiB, 296.04 W, 62
2026/04/29 19:53:22.496, 99 %, 81 %, 76935 MiB, 81920 MiB, 300.18 W, 62
2026/04/29 19:53:23.496, 99 %, 81 %, 76935 MiB, 81920 MiB, 293.72 W, 62
2026/04/29 19:53:24.664, 99 %, 80 %, 76935 MiB, 81920 MiB, 299.86 W, 62
2026/04/29 19:53:25.664, 99 %, 80 %, 76935 MiB, 81920 MiB, 299.88 W, 62
2026/04/29 19:53:26.664, 99 %, 81 %, 76935 MiB, 81920 MiB, 300.27 W, 62
2026/04/29 19:53:27.859, 99 %, 80 %, 76935 MiB, 81920 MiB, 298.43 W, 62
2026/04/29 19:53:28.859, 99 %, 79 %, 76935 MiB, 81920 MiB, 295.35 W, 62
2026/04/29 19:53:29.859, 99 %, 80 %, 76935 MiB, 81920 MiB, 294.20 W, 62
2026/04/29 19:53:31.038, 99 %, 80 %, 76935 MiB, 81920 MiB, 280.03 W, 62
2026/04/29 19:53:32.038, 99 %, 80 %, 76935 MiB, 81920 MiB, 289.70 W, 62
2026/04/29 19:53:33.041, 99 %, 79 %, 76935 MiB, 81920 MiB, 293.34 W, 62
2026/04/29 19:53:34.218, 99 %, 80 %, 76935 MiB, 81920 MiB, 286.90 W, 62
2026/04/29 19:53:35.218, 99 %, 80 %, 76935 MiB, 81920 MiB, 289.40 W, 62
2026/04/29 19:53:36.218, 99 %, 80 %, 76935 MiB, 81920 MiB, 286.15 W, 62
2026/04/29 19:53:37.394, 99 %, 80 %, 76935 MiB, 81920 MiB, 289.87 W, 62
2026/04/29 19:53:38.395, 99 %, 80 %, 76935 MiB, 81920 MiB, 291.52 W, 62
2026/04/29 19:53:39.395, 99 %, 81 %, 76935 MiB, 81920 MiB, 287.49 W, 62
2026/04/29 19:53:40.570, 99 %, 81 %, 76935 MiB, 81920 MiB, 295.74 W, 62
2026/04/29 19:53:41.571, 99 %, 81 %, 76935 MiB, 81920 MiB, 300.85 W, 62
2026/04/29 19:53:42.571, 99 %, 80 %, 76935 MiB, 81920 MiB, 302.86 W, 62
2026/04/29 19:53:43.750, 99 %, 80 %, 76935 MiB, 81920 MiB, 298.52 W, 62
2026/04/29 19:53:44.750, 99 %, 79 %, 76935 MiB, 81920 MiB, 294.22 W, 62
2026/04/29 19:53:45.751, 98 %, 80 %, 76935 MiB, 81920 MiB, 298.27 W, 62
2026/04/29 19:53:46.933, 99 %, 79 %, 76935 MiB, 81920 MiB, 298.58 W, 62
2026/04/29 19:53:47.933, 99 %, 80 %, 76935 MiB, 81920 MiB, 300.17 W, 62
2026/04/29 19:53:48.933, 99 %, 80 %, 76935 MiB, 81920 MiB, 306.02 W, 62
2026/04/29 19:53:50.095, 99 %, 81 %, 76935 MiB, 81920 MiB, 293.56 W, 62
2026/04/29 19:53:51.095, 99 %, 81 %, 76935 MiB, 81920 MiB, 278.62 W, 62
2026/04/29 19:53:52.096, 99 %, 80 %, 76935 MiB, 81920 MiB, 286.12 W, 62
2026/04/29 19:53:53.280, 99 %, 80 %, 76935 MiB, 81920 MiB, 287.76 W, 62
2026/04/29 19:53:54.280, 99 %, 81 %, 76935 MiB, 81920 MiB, 286.61 W, 62
2026/04/29 19:53:55.280, 99 %, 81 %, 76935 MiB, 81920 MiB, 294.49 W, 62
2026/04/29 19:53:56.446, 99 %, 81 %, 76935 MiB, 81920 MiB, 288.71 W, 62
2026/04/29 19:53:57.446, 99 %, 80 %, 76935 MiB, 81920 MiB, 290.93 W, 62
2026/04/29 19:53:58.446, 99 %, 80 %, 76935 MiB, 81920 MiB, 291.82 W, 62
2026/04/29 19:53:59.621, 99 %, 80 %, 76935 MiB, 81920 MiB, 293.53 W, 62
2026/04/29 19:54:00.621, 99 %, 80 %, 76935 MiB, 81920 MiB, 302.56 W, 62
2026/04/29 19:54:01.621, 99 %, 81 %, 76935 MiB, 81920 MiB, 296.79 W, 62
2026/04/29 19:54:02.796, 99 %, 80 %, 76935 MiB, 81920 MiB, 299.69 W, 62
2026/04/29 19:54:03.796, 99 %, 80 %, 76935 MiB, 81920 MiB, 300.64 W, 62
2026/04/29 19:54:04.797, 99 %, 81 %, 76935 MiB, 81920 MiB, 300.05 W, 62
2026/04/29 19:54:05.977, 99 %, 80 %, 76935 MiB, 81920 MiB, 297.96 W, 62
2026/04/29 19:54:06.977, 99 %, 81 %, 76935 MiB, 81920 MiB, 287.36 W, 62
2026/04/29 19:54:07.977, 99 %, 80 %, 76935 MiB, 81920 MiB, 296.21 W, 62
2026/04/29 19:54:09.153, 99 %, 81 %, 76935 MiB, 81920 MiB, 280.42 W, 62
2026/04/29 19:54:10.154, 99 %, 81 %, 76935 MiB, 81920 MiB, 296.12 W, 62
2026/04/29 19:54:11.154, 99 %, 79 %, 76935 MiB, 81920 MiB, 277.35 W, 62
2026/04/29 19:54:12.336, 99 %, 78 %, 76935 MiB, 81920 MiB, 291.81 W, 62
2026/04/29 19:54:13.336, 99 %, 77 %, 76935 MiB, 81920 MiB, 297.10 W, 62
2026/04/29 19:54:14.336, 99 %, 77 %, 76935 MiB, 81920 MiB, 289.02 W, 62
2026/04/29 19:54:15.488, 99 %, 77 %, 76935 MiB, 81920 MiB, 286.51 W, 62
2026/04/29 19:54:16.489, 99 %, 78 %, 76935 MiB, 81920 MiB, 292.10 W, 62
2026/04/29 19:54:17.489, 99 %, 77 %, 76935 MiB, 81920 MiB, 291.90 W, 62
2026/04/29 19:54:18.663, 99 %, 77 %, 76935 MiB, 81920 MiB, 287.10 W, 62
2026/04/29 19:54:19.663, 99 %, 77 %, 76935 MiB, 81920 MiB, 290.18 W, 62
2026/04/29 19:54:20.663, 98 %, 77 %, 76935 MiB, 81920 MiB, 293.90 W, 62
2026/04/29 19:54:21.817, 99 %, 77 %, 76935 MiB, 81920 MiB, 297.10 W, 62
2026/04/29 19:54:22.817, 99 %, 77 %, 76935 MiB, 81920 MiB, 297.98 W, 62
2026/04/29 19:54:23.818, 99 %, 77 %, 76935 MiB, 81920 MiB, 292.31 W, 62
2026/04/29 19:54:24.979, 99 %, 77 %, 76935 MiB, 81920 MiB, 294.59 W, 63
2026/04/29 19:54:25.980, 99 %, 77 %, 76935 MiB, 81920 MiB, 296.33 W, 63
2026/04/29 19:54:26.980, 99 %, 77 %, 76935 MiB, 81920 MiB, 292.86 W, 63
2026/04/29 19:54:28.132, 99 %, 77 %, 76935 MiB, 81920 MiB, 295.95 W, 63
2026/04/29 19:54:29.132, 99 %, 76 %, 76935 MiB, 81920 MiB, 292.01 W, 63
2026/04/29 19:54:30.133, 99 %, 76 %, 76935 MiB, 81920 MiB, 295.17 W, 63
2026/04/29 19:54:31.282, 99 %, 76 %, 76935 MiB, 81920 MiB, 278.82 W, 63
2026/04/29 19:54:32.283, 99 %, 77 %, 76935 MiB, 81920 MiB, 294.02 W, 64
2026/04/29 19:54:33.283, 99 %, 77 %, 76935 MiB, 81920 MiB, 292.11 W, 64
2026/04/29 19:54:34.432, 99 %, 77 %, 76935 MiB, 81920 MiB, 293.35 W, 64
2026/04/29 19:54:35.433, 99 %, 78 %, 76935 MiB, 81920 MiB, 296.04 W, 64
2026/04/29 19:54:36.433, 99 %, 77 %, 76935 MiB, 81920 MiB, 294.88 W, 64
2026/04/29 19:54:37.590, 99 %, 77 %, 76935 MiB, 81920 MiB, 292.89 W, 64
2026/04/29 19:54:38.590, 99 %, 77 %, 76935 MiB, 81920 MiB, 294.42 W, 64
2026/04/29 19:54:39.590, 99 %, 76 %, 76935 MiB, 81920 MiB, 290.09 W, 64
2026/04/29 19:54:40.736, 99 %, 77 %, 76935 MiB, 81920 MiB, 290.36 W, 64
2026/04/29 19:54:41.736, 99 %, 78 %, 76935 MiB, 81920 MiB, 300.74 W, 64
2026/04/29 19:54:42.736, 99 %, 77 %, 76935 MiB, 81920 MiB, 294.88 W, 64
2026/04/29 19:54:43.895, 99 %, 77 %, 76935 MiB, 81920 MiB, 294.30 W, 63
2026/04/29 19:54:44.895, 99 %, 77 %, 76935 MiB, 81920 MiB, 277.78 W, 63
2026/04/29 19:54:45.895, 99 %, 77 %, 76935 MiB, 81920 MiB, 294.40 W, 63
2026/04/29 19:54:47.051, 99 %, 77 %, 76935 MiB, 81920 MiB, 299.39 W, 63
2026/04/29 19:54:48.051, 99 %, 77 %, 76935 MiB, 81920 MiB, 293.44 W, 63
2026/04/29 19:54:49.051, 99 %, 77 %, 76935 MiB, 81920 MiB, 302.45 W, 63
