timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/04/29 19:36:04.820, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.24 W, 33
2026/04/29 19:36:05.820, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.32 W, 32
2026/04/29 19:36:06.821, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.32 W, 32
2026/04/29 19:36:07.821, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.80 W, 33
2026/04/29 19:36:08.821, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.41 W, 33
2026/04/29 19:36:09.822, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.35 W, 33
2026/04/29 19:36:10.822, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.32 W, 33
2026/04/29 19:36:11.822, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.40 W, 33
2026/04/29 19:36:12.822, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.51 W, 33
2026/04/29 19:36:13.823, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.41 W, 33
2026/04/29 19:36:14.823, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.41 W, 33
2026/04/29 19:36:15.823, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.33 W, 33
2026/04/29 19:36:16.823, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.46 W, 33
2026/04/29 19:36:17.824, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.39 W, 33
2026/04/29 19:36:18.824, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.11 W, 33
2026/04/29 19:36:19.824, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.15 W, 33
2026/04/29 19:36:20.825, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.22 W, 33
2026/04/29 19:36:21.825, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.05 W, 33
2026/04/29 19:36:22.825, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.11 W, 33
2026/04/29 19:36:23.825, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.22 W, 33
2026/04/29 19:36:24.826, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.21 W, 33
2026/04/29 19:36:25.826, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.18 W, 33
2026/04/29 19:36:26.826, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.27 W, 33
2026/04/29 19:36:27.826, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.22 W, 33
2026/04/29 19:36:28.827, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.26 W, 33
2026/04/29 19:36:29.827, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.13 W, 33
2026/04/29 19:36:30.827, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.21 W, 33
2026/04/29 19:36:31.827, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.18 W, 33
2026/04/29 19:36:32.828, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.31 W, 33
2026/04/29 19:36:33.828, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.10 W, 33
2026/04/29 19:36:34.828, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.26 W, 33
2026/04/29 19:36:35.828, NVIDIA A100 80GB PCIe, 70 %, 63 %, 76935 MiB, 81920 MiB, 251.41 W, 34
2026/04/29 19:36:36.829, NVIDIA A100 80GB PCIe, 64 %, 57 %, 76935 MiB, 81920 MiB, 64.90 W, 35
2026/04/29 19:36:37.829, NVIDIA A100 80GB PCIe, 62 %, 55 %, 76935 MiB, 81920 MiB, 65.05 W, 35
2026/04/29 19:36:38.829, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 115.96 W, 35
2026/04/29 19:36:39.830, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 65.38 W, 35
2026/04/29 19:36:40.830, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 65.70 W, 36
2026/04/29 19:36:41.830, NVIDIA A100 80GB PCIe, 53 %, 47 %, 76935 MiB, 81920 MiB, 82.18 W, 36
2026/04/29 19:36:42.830, NVIDIA A100 80GB PCIe, 50 %, 45 %, 76935 MiB, 81920 MiB, 65.78 W, 36
2026/04/29 19:36:43.831, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 71.61 W, 37
2026/04/29 19:36:44.831, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 64.68 W, 37
2026/04/29 19:36:45.831, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 64.92 W, 37
2026/04/29 19:36:46.831, NVIDIA A100 80GB PCIe, 39 %, 35 %, 76935 MiB, 81920 MiB, 66.43 W, 37
2026/04/29 19:36:47.832, NVIDIA A100 80GB PCIe, 36 %, 32 %, 76935 MiB, 81920 MiB, 66.34 W, 38
2026/04/29 19:36:48.832, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 65.24 W, 38
2026/04/29 19:36:49.832, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 65.86 W, 38
2026/04/29 19:36:50.833, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 65.64 W, 38
2026/04/29 19:36:51.833, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 65.76 W, 38
2026/04/29 19:36:52.833, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 65.54 W, 38
2026/04/29 19:36:53.833, NVIDIA A100 80GB PCIe, 22 %, 20 %, 76935 MiB, 81920 MiB, 65.83 W, 38
2026/04/29 19:36:54.833, NVIDIA A100 80GB PCIe, 21 %, 19 %, 76935 MiB, 81920 MiB, 65.74 W, 39
2026/04/29 19:36:55.834, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 65.64 W, 39
2026/04/29 19:36:56.834, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 65.66 W, 39
2026/04/29 19:36:57.834, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 65.89 W, 39
2026/04/29 19:36:58.835, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 106.91 W, 39
2026/04/29 19:36:59.835, NVIDIA A100 80GB PCIe, 8 %, 7 %, 76935 MiB, 81920 MiB, 65.88 W, 40
2026/04/29 19:37:00.835, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 65.94 W, 40
2026/04/29 19:37:01.835, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 66.38 W, 40
2026/04/29 19:37:02.836, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 66.54 W, 40
2026/04/29 19:37:03.836, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 66.55 W, 40
2026/04/29 19:37:04.836, NVIDIA A100 80GB PCIe, 97 %, 87 %, 76935 MiB, 81920 MiB, 72.04 W, 40
2026/04/29 19:37:05.837, NVIDIA A100 80GB PCIe, 93 %, 83 %, 76935 MiB, 81920 MiB, 66.67 W, 41
2026/04/29 19:37:06.837, NVIDIA A100 80GB PCIe, 90 %, 81 %, 76935 MiB, 81920 MiB, 66.67 W, 41
2026/04/29 19:37:07.837, NVIDIA A100 80GB PCIe, 87 %, 78 %, 76935 MiB, 81920 MiB, 67.82 W, 41
2026/04/29 19:37:08.837, NVIDIA A100 80GB PCIe, 85 %, 76 %, 76935 MiB, 81920 MiB, 66.74 W, 41
2026/04/29 19:37:09.838, NVIDIA A100 80GB PCIe, 83 %, 75 %, 76935 MiB, 81920 MiB, 67.43 W, 41
2026/04/29 19:37:10.838, NVIDIA A100 80GB PCIe, 79 %, 70 %, 76935 MiB, 81920 MiB, 67.20 W, 41
2026/04/29 19:37:11.838, NVIDIA A100 80GB PCIe, 76 %, 68 %, 76935 MiB, 81920 MiB, 67.71 W, 41
2026/04/29 19:37:12.839, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 67.36 W, 41
2026/04/29 19:37:13.839, NVIDIA A100 80GB PCIe, 72 %, 65 %, 76935 MiB, 81920 MiB, 67.06 W, 41
2026/04/29 19:37:14.839, NVIDIA A100 80GB PCIe, 70 %, 62 %, 76935 MiB, 81920 MiB, 67.34 W, 42
2026/04/29 19:37:15.839, NVIDIA A100 80GB PCIe, 66 %, 59 %, 76935 MiB, 81920 MiB, 67.24 W, 42
2026/04/29 19:37:16.839, NVIDIA A100 80GB PCIe, 63 %, 56 %, 76935 MiB, 81920 MiB, 67.24 W, 42
2026/04/29 19:37:17.840, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 67.15 W, 42
2026/04/29 19:37:18.840, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 67.36 W, 42
2026/04/29 19:37:19.840, NVIDIA A100 80GB PCIe, 57 %, 51 %, 76935 MiB, 81920 MiB, 67.66 W, 42
2026/04/29 19:37:20.841, NVIDIA A100 80GB PCIe, 53 %, 48 %, 76935 MiB, 81920 MiB, 76.73 W, 42
2026/04/29 19:37:21.841, NVIDIA A100 80GB PCIe, 52 %, 46 %, 76935 MiB, 81920 MiB, 67.99 W, 42
2026/04/29 19:37:22.841, NVIDIA A100 80GB PCIe, 49 %, 44 %, 76935 MiB, 81920 MiB, 67.73 W, 43
2026/04/29 19:37:23.841, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 71.52 W, 42
2026/04/29 19:37:24.842, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 67.99 W, 43
2026/04/29 19:37:25.842, NVIDIA A100 80GB PCIe, 41 %, 37 %, 76935 MiB, 81920 MiB, 69.19 W, 43
2026/04/29 19:37:26.842, NVIDIA A100 80GB PCIe, 39 %, 35 %, 76935 MiB, 81920 MiB, 68.68 W, 43
2026/04/29 19:37:27.842, NVIDIA A100 80GB PCIe, 37 %, 33 %, 76935 MiB, 81920 MiB, 68.75 W, 43
2026/04/29 19:37:28.843, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 67.63 W, 43
2026/04/29 19:37:29.843, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 68.22 W, 43
2026/04/29 19:37:30.843, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 68.10 W, 44
2026/04/29 19:37:31.843, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 67.85 W, 43
2026/04/29 19:37:32.844, NVIDIA A100 80GB PCIe, 27 %, 24 %, 76935 MiB, 81920 MiB, 67.91 W, 43
2026/04/29 19:37:33.844, NVIDIA A100 80GB PCIe, 24 %, 22 %, 76935 MiB, 81920 MiB, 67.85 W, 43
2026/04/29 19:37:34.844, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 252.69 W, 45
2026/04/29 19:37:35.845, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 275.41 W, 47
2026/04/29 19:37:36.845, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 275.68 W, 47
2026/04/29 19:37:37.845, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 255.67 W, 47
2026/04/29 19:37:38.845, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 278.30 W, 47
2026/04/29 19:37:39.846, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 276.19 W, 47
2026/04/29 19:37:40.846, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 247.66 W, 48
2026/04/29 19:37:41.846, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 279.17 W, 48
2026/04/29 19:37:42.846, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 242.03 W, 48
2026/04/29 19:37:43.847, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 264.29 W, 48
2026/04/29 19:37:44.847, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 278.42 W, 49
2026/04/29 19:37:45.847, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 272.14 W, 49
2026/04/29 19:37:46.848, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 274.73 W, 49
2026/04/29 19:37:47.848, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 275.13 W, 49
2026/04/29 19:37:48.848, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 279.65 W, 49
2026/04/29 19:37:49.848, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 278.49 W, 50
2026/04/29 19:37:50.849, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 284.28 W, 50
2026/04/29 19:37:51.849, NVIDIA A100 80GB PCIe, 99 %, 87 %, 76935 MiB, 81920 MiB, 282.06 W, 50
2026/04/29 19:37:52.849, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 281.03 W, 50
2026/04/29 19:37:53.849, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 279.40 W, 50
2026/04/29 19:37:54.850, NVIDIA A100 80GB PCIe, 99 %, 87 %, 76935 MiB, 81920 MiB, 283.11 W, 50
2026/04/29 19:37:55.850, NVIDIA A100 80GB PCIe, 99 %, 87 %, 76935 MiB, 81920 MiB, 282.28 W, 50
2026/04/29 19:37:56.850, NVIDIA A100 80GB PCIe, 99 %, 87 %, 76935 MiB, 81920 MiB, 258.18 W, 51
2026/04/29 19:37:57.850, NVIDIA A100 80GB PCIe, 99 %, 87 %, 76935 MiB, 81920 MiB, 282.65 W, 51
2026/04/29 19:37:58.851, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 286.01 W, 51
2026/04/29 19:37:59.851, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 284.30 W, 51
2026/04/29 19:38:00.851, NVIDIA A100 80GB PCIe, 99 %, 87 %, 76935 MiB, 81920 MiB, 283.90 W, 51
2026/04/29 19:38:01.851, NVIDIA A100 80GB PCIe, 99 %, 87 %, 76935 MiB, 81920 MiB, 266.24 W, 52
2026/04/29 19:38:02.852, NVIDIA A100 80GB PCIe, 99 %, 87 %, 76935 MiB, 81920 MiB, 285.33 W, 52
2026/04/29 19:38:03.852, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 284.07 W, 52
2026/04/29 19:38:04.852, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 275.53 W, 52
2026/04/29 19:38:05.852, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 285.45 W, 52
2026/04/29 19:38:06.853, NVIDIA A100 80GB PCIe, 99 %, 87 %, 76935 MiB, 81920 MiB, 275.73 W, 52
2026/04/29 19:38:07.853, NVIDIA A100 80GB PCIe, 99 %, 87 %, 76935 MiB, 81920 MiB, 280.56 W, 52
2026/04/29 19:38:08.853, NVIDIA A100 80GB PCIe, 99 %, 86 %, 76935 MiB, 81920 MiB, 284.66 W, 52
2026/04/29 19:38:09.853, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 283.99 W, 53
2026/04/29 19:38:10.854, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 282.38 W, 53
2026/04/29 19:38:11.854, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 286.99 W, 53
2026/04/29 19:38:12.854, NVIDIA A100 80GB PCIe, 99 %, 87 %, 76935 MiB, 81920 MiB, 288.14 W, 53
2026/04/29 19:38:13.854, NVIDIA A100 80GB PCIe, 99 %, 87 %, 76935 MiB, 81920 MiB, 285.23 W, 53
2026/04/29 19:38:14.855, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 277.74 W, 53
2026/04/29 19:38:15.855, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 282.91 W, 54
2026/04/29 19:38:16.855, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 284.96 W, 54
2026/04/29 19:38:17.855, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 284.95 W, 54
2026/04/29 19:38:18.856, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 284.47 W, 54
2026/04/29 19:38:19.856, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 285.64 W, 54
2026/04/29 19:38:20.856, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 286.77 W, 54
2026/04/29 19:38:21.856, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 270.69 W, 55
2026/04/29 19:38:22.857, NVIDIA A100 80GB PCIe, 99 %, 87 %, 76935 MiB, 81920 MiB, 289.56 W, 55
2026/04/29 19:38:23.857, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 288.81 W, 55
2026/04/29 19:38:24.857, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 287.56 W, 55
2026/04/29 19:38:25.857, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 280.73 W, 55
2026/04/29 19:38:26.858, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 282.20 W, 56
2026/04/29 19:38:27.858, NVIDIA A100 80GB PCIe, 99 %, 87 %, 76935 MiB, 81920 MiB, 289.20 W, 56
2026/04/29 19:38:28.858, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 290.16 W, 56
2026/04/29 19:38:29.858, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 287.36 W, 56
2026/04/29 19:38:30.859, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 290.24 W, 56
2026/04/29 19:38:31.859, NVIDIA A100 80GB PCIe, 99 %, 87 %, 76935 MiB, 81920 MiB, 290.73 W, 57
2026/04/29 19:38:32.859, NVIDIA A100 80GB PCIe, 99 %, 89 %, 76935 MiB, 81920 MiB, 288.89 W, 57
2026/04/29 19:38:33.859, NVIDIA A100 80GB PCIe, 99 %, 87 %, 76935 MiB, 81920 MiB, 286.88 W, 57
2026/04/29 19:38:34.860, NVIDIA A100 80GB PCIe, 99 %, 88 %, 76935 MiB, 81920 MiB, 264.50 W, 56
2026/04/29 19:38:35.860, NVIDIA A100 80GB PCIe, 99 %, 85 %, 76935 MiB, 81920 MiB, 300.06 W, 57
2026/04/29 19:38:36.860, NVIDIA A100 80GB PCIe, 99 %, 84 %, 76935 MiB, 81920 MiB, 302.48 W, 57
2026/04/29 19:38:37.860, NVIDIA A100 80GB PCIe, 99 %, 84 %, 76935 MiB, 81920 MiB, 303.23 W, 58
2026/04/29 19:38:38.861, NVIDIA A100 80GB PCIe, 99 %, 84 %, 76935 MiB, 81920 MiB, 298.06 W, 58
2026/04/29 19:38:39.861, NVIDIA A100 80GB PCIe, 99 %, 84 %, 76935 MiB, 81920 MiB, 283.89 W, 58
2026/04/29 19:38:40.861, NVIDIA A100 80GB PCIe, 99 %, 84 %, 76935 MiB, 81920 MiB, 297.95 W, 58
2026/04/29 19:38:41.861, NVIDIA A100 80GB PCIe, 99 %, 84 %, 76935 MiB, 81920 MiB, 291.70 W, 58
2026/04/29 19:38:42.861, NVIDIA A100 80GB PCIe, 99 %, 84 %, 76935 MiB, 81920 MiB, 282.93 W, 58
2026/04/29 19:38:43.862, NVIDIA A100 80GB PCIe, 99 %, 84 %, 76935 MiB, 81920 MiB, 310.43 W, 58
2026/04/29 19:38:44.862, NVIDIA A100 80GB PCIe, 99 %, 83 %, 76935 MiB, 81920 MiB, 312.85 W, 58
2026/04/29 19:38:45.862, NVIDIA A100 80GB PCIe, 99 %, 84 %, 76935 MiB, 81920 MiB, 298.05 W, 58
2026/04/29 19:38:46.862, NVIDIA A100 80GB PCIe, 99 %, 84 %, 76935 MiB, 81920 MiB, 299.86 W, 59
2026/04/29 19:38:47.863, NVIDIA A100 80GB PCIe, 99 %, 84 %, 76935 MiB, 81920 MiB, 298.04 W, 59
